Overall,0-15,16-30,31-45,46-60,61-75,76-90,,1st H.,2nd H.
Arsenal W,10-2,2-3,14-0,9-2,11-0,11-7,,26-5,31-9
Aston Villa W,1-5,1-10,1-11,3-5,2-8,4-5,,3-26,9-18
Birmingham W,3-3,2-2,2-9,2-9,3-7,1-7,,7-14,6-23
Brighton W,2-6,3-6,2-4,1-5,5-6,3-8,,7-16,9-19
Bristol City W,5-10,1-4,3-16,3-13,1-14,2-9,,9-30,6-36
Chelsea W,8-1,11-1,13-0,10-1,11-3,9-4,,32-2,30-8
Everton W,4-5,9-4,6-6,6-2,7-3,6-6,,19-15,19-11
Man City W,8-3,10-1,14-2,8-3,10-2,10-2,,32-6,28-7
Man Utd W,3-3,5-5,6-2,7-2,6-5,10-2,,14-10,23-9
Reading W,5-4,3-6,5-8,3-4,3-2,2-9,,13-18,8-15
Tottenham W,3-7,1-5,4-8,2-5,3-9,3-1,,8-20,8-15
West Ham W,4-7,3-4,3-7,5-8,3-6,3-4,,10-18,11-18
