Overall,0-15,16-30,31-45,46-60,61-75,76-90,,1st H.,2nd H.
Athletic Club W,9-4,6-2,6-7,3-4,3-7,8-9,,21-13,14-20
Atletico M. W,4-5,7-4,8-3,9-3,5-5,12-6,,19-12,26-14
Deportivo W,1-11,2-13,2-14,8-13,8-5,5-12,,5-38,21-30
Eibar W,4-6,5-6,4-6,1-10,3-6,9-9,,13-18,13-25
Espanyol W,0-7,3-8,4-10,3-7,5-12,5-7,,7-25,13-26
FC Barcelona W,18-1,25-0,24-1,16-0,17-1,25-2,,67-2,58-3
Granadilla T. W,6-4,8-7,13-3,5-7,10-7,8-10,,27-14,23-24
Huelva W,4-6,3-4,3-3,4-7,4-2,4-13,,10-13,12-22
Levante W,8-4,7-7,10-7,9-5,9-3,11-10,,25-18,29-18
Logrono W,5-5,4-8,3-7,8-9,1-5,5-14,,12-20,14-28
Madrid CFF W,3-3,7-6,8-5,10-2,8-3,3-6,,18-14,21-11
R. Vallecano W,4-9,6-7,7-9,5-11,1-6,4-6,,17-25,10-23
Real Betis W,4-5,2-5,3-11,3-10,4-11,7-11,,9-21,14-32
Real Madrid W,7-3,5-5,11-1,10-7,9-8,13-3,,23-9,32-18
Real Sociedad W,6-2,12-8,6-6,7-4,8-3,12-7,,24-16,27-14
Santa Teresa W,2-7,2-10,4-12,5-8,2-8,1-12,,8-29,8-28
Sevilla W,3-5,3-7,3-3,10-6,5-10,8-7,,9-15,23-23
Valencia W,6-7,9-9,2-13,3-6,8-8,12-8,,17-29,23-22
